train/entropy_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,time/time_elapsed,train/value_loss,train/clip_fraction,time/iterations,rollout/ep_rew_mean,train/loss,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/approx_kl,time/fps
-0.9346218099817634,0.2,294912,-0.0011219459993299097,154,766.5393118858337,0.00244140625,288,-43.87620357,322.0693359375,0.20391905307769775,1148,0.0003,413.91,0.004313038,1910
-1.0840182844549417,0.2,299008,-0.0007297159754671156,156,322.60145366191864,0.0,292,-43.33525057000001,158.75938415527344,-0.0012850761413574219,1164,0.0003,425.16,0.000695832,1910
-0.9552488420158625,0.2,303104,-0.0024343697223230265,158,195.41350865364075,0.023193359375,296,-39.631032569999995,69.1651840209961,-0.015071272850036621,1180,0.0003,433.18,0.0064891176,1910
-0.8923885133117437,0.2,307200,-0.00029846128018107265,160,841.1114702224731,0.0,300,-39.49801898000001,213.2532958984375,-0.16176795959472656,1196,0.0003,425.5,0.00013567286,1911
-0.9164221351966262,0.2,311296,-0.0010969348077196628,162,721.3776650428772,0.03125,304,-33.42453113999999,313.9579162597656,0.10973012447357178,1212,0.0003,427.08,0.0064456584,1911
-0.9287131950259209,0.2,315392,-0.0024516054800187703,164,476.0069613456726,0.026611328125,308,-35.59334106999999,163.70120239257812,-0.18505096435546875,1228,0.0003,415.48,0.0035025151,1911
-0.8880877196788788,0.2,319488,-0.00375447423721198,167,188.13569223880768,0.054931640625,312,-27.67644564,115.3107681274414,0.02203315496444702,1244,0.0003,436.68,0.0037377623,1911
-1.0400665905326605,0.2,323584,-0.0034760022172122262,169,73.9295382797718,0.041015625,316,-21.557402289999995,24.463483810424805,0.11846107244491577,1260,0.0003,451.33,0.005294893,1911
-0.9680387200787663,0.2,327680,-0.001124428086768603,171,193.38426506519318,0.007568359375,320,-13.6621313,102.7505874633789,0.5598233640193939,1276,0.0003,452.76,0.0011494495,1911
-0.7882400946691632,0.2,331776,-0.0028732227365253493,173,650.7023921012878,0.002685546875,324,-9.064427750000002,255.4073486328125,0.4309367537498474,1292,0.0003,458.32,0.0016825128,1911
-0.7917362656444311,0.2,335872,-0.004487670703383628,175,189.04192507266998,0.036376953125,328,-5.944872400000001,111.23424530029297,0.35924631357192993,1308,0.0003,473.86,0.006274743,1912
-0.9673239234834909,0.2,339968,-0.0011859714722959325,177,621.5334177017212,0.002685546875,332,3.2919987899999983,153.4640350341797,0.534829705953598,1324,0.0003,475.08,0.001999141,1912
-0.8404216598719358,0.2,344064,-0.0015718667273176834,179,672.2883812189102,0.003662109375,336,6.086251869999999,335.4484558105469,0.3661291003227234,1340,0.0003,473.0,0.0026245415,1912
-0.9240683447569609,0.2,348160,-0.0032016587429097854,182,511.63192081451416,0.021728515625,340,7.8678236,212.7797393798828,0.020318984985351562,1356,0.0003,462.4,0.004247011,1912
-0.898233512416482,0.2,352256,-0.0029041192537988536,184,58.3151860833168,0.059814453125,344,14.164392889999998,18.327545166015625,0.7107506096363068,1372,0.0003,470.65,0.0077995816,1912
-0.8960126684978604,0.2,356352,-0.0005996367544867098,186,90.7160764336586,0.007568359375,348,12.1903071,70.72590637207031,0.6736634075641632,1388,0.0003,476.42,0.0023896247,1912
-0.8700504042208195,0.2,360448,-0.0013882792482036166,188,590.7239031791687,0.00048828125,352,12.445709599999997,241.86509704589844,0.5239542424678802,1404,0.0003,482.44,0.0016177006,1912
-1.0189075758680701,0.2,364544,-0.00247365067480132,190,336.59077072143555,0.001953125,356,23.29292958,139.18190002441406,0.43078911304473877,1420,0.0003,504.63,0.0015490303,1912
